City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
200,ulladulla,0,AU,1525251600,100,-35.36,150.48,59.0,1.12
201,necochea,24,AR,1525254892,99,-38.55,-58.74,46.55,3.09
202,takoradi,56,GH,1525254536,94,4.89,-1.75,83.0,9.24
203,minsk,0,BY,1525251600,53,53.9,27.56,71.6,6.71
204,kibre mengist,24,ET,1525254893,96,5.87,38.99,65.18,3.2
205,unity,24,CA,1525254893,58,52.44,-109.15,39.98,7.11
206,deputatskiy,92,RU,1525254449,97,69.3,139.9,37.64,10.47
207,opuwo,0,NA,1525254894,30,-18.06,13.84,80.93,6.67
208,hovd,0,NO,1525252800,44,63.83,10.7,57.2,2.24
209,inverness,40,GB,1525252800,81,57.48,-4.23,46.4,6.93
210,saskylakh,20,RU,1525254449,82,71.97,114.09,11.27,16.4
211,fort dodge,90,US,1525254000,100,42.5,-94.17,59.0,4.7
212,puerto cabezas,92,NI,1525254895,100,14.04,-83.39,79.94,10.69
213,ketchikan,90,US,1525253460,93,55.34,-131.65,46.4,8.05
214,the hague,24,NL,1525253100,50,52.08,4.31,57.2,18.34
215,werda,20,DE,1525253400,54,50.44,12.3,55.4,5.82
216,kautokeino,12,NO,1525254896,80,69.01,23.04,34.67,6.78
217,pacific grove,90,US,1525253700,81,36.62,-121.92,53.6,3.36
218,boende,24,CD,1525254896,59,-0.28,20.88,89.21,2.98
219,kavaratti,32,IN,1525254576,100,10.57,72.64,84.8,8.12
220,port lincoln,48,AU,1525254897,100,-34.72,135.86,61.85,10.36
221,frasin,0,RO,1525251600,64,47.54,25.79,71.6,8.05
222,coihaique,0,CL,1525251600,93,-45.58,-72.07,39.2,6.93
223,kopidlno,0,CZ,1525251600,52,50.33,15.27,66.2,12.75
224,mindelo,75,PT,1525253400,76,41.31,-8.72,57.2,11.41
225,nago,75,IT,1525252800,87,45.88,10.89,55.4,3.36
226,charlestown,20,US,1525254660,47,41.38,-71.64,60.8,8.05
227,casino,0,AU,1525254900,92,-28.86,153.05,59.33,2.75
228,henties bay,12,NA,1525254900,97,-22.12,14.28,66.71,4.88
229,stromness,75,CA,1525251600,50,42.87,-79.55,64.4,11.41
230,kihei,40,US,1525251360,94,20.76,-156.45,69.8,7.0
231,bouafle,0,FR,1525253400,47,48.96,1.9,59.0,17.22
232,butaritari,12,KI,1525254501,100,3.07,172.79,83.72,11.14
233,cherskiy,20,RU,1525254604,65,68.75,161.3,16.94,2.64
234,dapdap,76,PH,1525254901,91,14.05,121.57,85.43,11.03
235,kirakira,76,SB,1525254549,100,-10.46,161.92,82.64,11.48
236,barber,1,US,1525253700,54,39.71,-121.84,60.8,4.7
237,manokwari,36,ID,1525254902,98,-0.87,134.08,83.54,3.76
238,camacha,75,PT,1525253400,87,33.08,-16.33,64.4,4.7
239,yar-sale,12,RU,1525254596,91,66.83,70.83,14.24,18.86
240,carnarvon,32,ZA,1525254458,45,-30.97,22.13,64.64,14.83
241,avarua,20,CK,1525251600,78,-21.21,-159.78,78.8,10.29
242,bajram curri,20,AL,1525253400,32,42.36,20.08,82.4,3.36
243,sao felix do xingu,0,BR,1525254904,100,-6.64,-51.99,70.13,2.3
244,krasnaya gora,0,RU,1525251600,44,53.01,31.6,80.6,4.47
245,lodja,0,CD,1525254482,59,-3.52,23.6,88.58,3.65
246,sao francisco,0,BR,1525251600,94,-25.65,-53.85,68.0,5.82
247,shingu,75,JP,1525251600,100,33.72,135.99,66.2,20.8
248,kholmogory,0,RU,1525251600,26,64.23,41.65,44.6,11.18
249,airai,80,TL,1525254482,78,-8.93,125.41,74.27,2.42
250,saint george,0,GR,1525252800,60,39.45,22.34,73.4,8.05
251,dangriga,92,BZ,1525254906,82,16.97,-88.23,82.28,12.03
252,phan thiet,0,VN,1525254906,78,10.93,108.1,86.51,7.9
253,cayenne,100,GF,1525253400,88,4.94,-52.33,78.8,8.05
254,gravdal,0,NO,1525252800,54,59.79,5.78,53.6,16.11
255,juegang,0,CN,1525254907,90,32.31,121.18,59.51,23.22
256,altay,0,CN,1525254908,61,47.83,88.13,43.4,2.98
257,palmer,75,US,1525251360,64,61.6,-149.11,39.2,5.82
258,sosva,36,RU,1525254908,42,59.17,61.86,47.18,5.99
259,plettenberg bay,20,ZA,1525254909,92,-34.05,23.37,63.47,13.82
260,walvis bay,0,NA,1525251600,60,-22.95,14.51,69.8,8.05
261,saldanha,76,PT,1525254457,54,41.42,-6.55,49.52,5.21
262,caraga,36,PH,1525254909,90,9.0,125.74,80.12,2.19
263,marondera,0,ZW,1525254910,69,-18.19,31.55,69.68,4.54
264,hamilton,5,BM,1525251300,68,32.3,-64.78,64.4,11.41
265,katsuura,75,JP,1525251780,100,33.93,134.5,68.0,18.34
266,lauf,0,DE,1525253400,66,48.65,8.13,51.8,9.17
267,ossora,80,RU,1525254911,96,59.24,163.07,29.63,3.2
268,coahuayana,32,MX,1525254911,83,18.62,-100.35,64.46,2.53
269,celestun,0,MX,1525254911,93,20.87,-90.4,81.29,17.07
270,nelson bay,0,AU,1525251600,93,-32.72,152.14,59.0,3.36
271,xingcheng,0,CN,1525254912,23,40.62,120.71,64.64,16.73
272,faanui,92,PF,1525254504,100,-16.48,-151.75,83.0,12.93
